x,y,z
270.94355128608913,289.3387760697225,a
229.64080430972095,260.372898636283,a
222.53381936769952,277.61932784530484,a
224.75884354587862,269.27440620434754,a
287.19445090649765,265.4192995877749,a
266.7470654252152,340.87182298892753,a
328.2215693266607,330.4082634743106,a
300.96660182487153,342.1609327104146,a
303.38573361388916,423.0506771502753,a
319.01390059251,349.5761108218485,a
285.53765843382917,365.29832281297587,a
302.55885019718284,358.58710271468954,a
358.3396495038077,357.3689884540652,a
319.9678251737604,353.1894026363701,a
351.32273829483063,353.4989600950986,a
361.59782828134644,281.3987336834773,a
354.6614925432652,293.4297821817663,a
438.124341364426,272.2180743413897,a
379.25126697385195,267.2878892719957,a
448.9783636631803,272.6727488563334,a
415.1072893087568,260.92248649248586,a
371.4076858493953,301.0043303935883,a
425.82950760039165,285.2847885192828,a
429.9580652195036,294.57926366145256,a
392.6878330051758,246.19297697303148,a
441.71265162440386,232.9796326669266,a
439.12271187481815,273.87711085571857,a
397.3431937734814,263.00462274142194,a
365.7680485034221,263.3683297250176,a
339.4666520475909,253.4680942144934,a
351.62754507759837,260.76529104724983,a
336.4144109971846,270.0398456650512,a
339.2966565639207,263.85089699278103,a
328.8678476061753,266.86965778772617,a
262.6119036889021,247.59783590176147,a
312.4012250587745,247.05988158208305,a
329.7887533726518,240.5285295302396,a
315.2358591828047,223.80889220721485,a
501.47699682555765,337.507309899177,a
485.6493186264888,360.9147084967841,a
517.2282789421298,397.31415497256825,a
533.0592664606351,347.1027111602249,a
557.1251808787875,340.4450970186607,a
539.6665182358839,341.0134299735807,a
595.5454813263541,304.3222479034699,a
589.8821300363544,245.45757039134733,a
546.261651107892,280.70750736875584,a
584.7441176840904,320.6353901697869,a
578.3839711370541,217.85202568262906,a
580.2593800863149,263.18635341277536,a
567.3263891539392,247.92494377638073,a
576.7138039565061,214.83985179351646,a
565.7159686272116,198.61714128311354,a
558.5833163799755,197.4241414258616,a
548.4605215044533,162.86562436631698,a
566.1781982474242,226.58319943522338,a
534.4006560285062,162.3691542617109,a
478.86848673319105,154.6806824012072,a
548.631802951958,200.69490436463633,a
533.7305128737785,151.3909118421683,a
522.5216764637896,211.80389873920217,a
501.37512813666785,184.54961213427578,a
497.07471201228657,167.09898826338303,a
560.4324014645989,186.75599136126067,a
561.5249780238738,180.14316489101844,a
543.8778721202792,187.19682349114976,a
596.3069884336837,155.02833963588085,a
524.3763581897794,112.53723993577643,a
567.3882548542624,110.58400444031298,a
569.1225339250379,124.93025802962535,a
576.4793822162915,148.22858903436753,a
536.8556423168195,172.69667999276544,a
562.6064590352233,121.60602855764392,a
542.6060908363286,139.8128983371854,a
541.2061192258936,158.13804592056988,a
532.9332257165491,169.4333970552355,a
389.3540755102799,426.6368242804636,b
371.61269981331355,448.7515446893476,b
500.12674997607706,391.95855180668684,b
416.24431111961474,447.07062223681555,b
401.39258064750135,422.79428168035923,b
416.30333394380585,415.61506116111605,b
426.7532877205892,451.5707856678683,b
387.84380720425605,374.9829649354633,b
395.8955981200071,350.616838810098,b
371.36040055789397,409.2624201902283,b
380.46301187288077,338.72160185949633,b
412.91757044765245,336.01113758197846,b
409.908797785473,340.68121570430515,b
391.0526926288133,345.98237098531706,b
453.2790493906536,332.738293796274,b
413.8461251091257,363.22616098956746,b
372.31130547427426,361.2495051840941,b
413.53296363464216,291.33582111948317,b
421.10061602519727,342.84448349884565,b
459.5452466557211,363.05450968536815,b
406.91973706809927,369.17116346838117,b
388.0730293663684,274.34370886361046,b
382.75077775104916,381.76609055718075,b
445.04711809198074,367.38553517561536,b
425.3740864704211,331.03771078016655,b
426.4971754868567,303.39619234599843,b
438.0251207484531,320.9608848752488,b
432.8457547972586,313.30888019716144,b
448.64715937297217,350.1033473962136,b
456.6525429434148,309.26460455650715,b
424.7061956750537,349.7863127185974,b
457.46240348914614,313.55874961411314,b
444.6991096888796,288.1049265804419,b
468.5337192227325,316.35237235854527,b
442.56928218623153,332.1335489766914,b
449.9157527327864,291.56862614122434,b
433.3864997664002,332.5993822716547,b
433.31934833168003,348.30136672707636,b
446.2762731271926,282.2913840372654,b
461.27418196079776,277.0023748135739,b
505.92009960215694,314.44337557835206,b
392.3448823567266,310.5368184765964,b
440.49948244825555,315.02068346893776,b
467.8216637716527,324.26493882879777,b
493.15805948171635,342.00641402839153,b
500.7453791561941,277.39300532660326,b
500.03905003174395,310.2618321648154,b
471.96583334133584,277.3563451246632,b
422.46467280080867,276.8386747022468,b
466.93769170478896,284.8539501195904,b
492.7247362943789,317.4712814816653,b
483.81311264165186,271.7406839767965,b
469.3830993138898,256.51301144072556,b
495.04039914980314,286.81294603421884,b
437.6395761413497,291.03580954844944,b
518.6040423646621,332.4841318978164,b
484.3329638720137,297.02802254928434,b
542.6365570424507,349.83663638452015,b
534.4332312359512,272.6602313022431,b
498.6290503009161,308.85598256424015,b
477.48642433552493,315.4484883334568,b
519.9611923765706,278.40171809175246,b
462.4601981044569,245.7112453431923,b
514.1458170740913,254.28595746281448,b
498.3361542874443,257.155246637465,b
490.18830003520435,293.7385836035187,b
508.8026291172955,255.34055947774488,b
511.24228819089564,261.16811789640605,b
509.98108245630334,239.95127091327407,b
468.5451617995594,269.26204488613905,b
493.5847712522298,228.8883929694572,b
483.4512634313468,252.08990217039585,b
532.7214526355582,255.97013594747395,b
489.0652492582486,222.24729775563054,b
515.3746747805172,260.1418155144526,b
521.0113376439599,238.25031629675476,b
480.949190839611,262.2241858252942,b
